url.host,url,size_download,speed_download,time_starttransfer,time_total
speedtest.kapsi.fi,http://speedtest.kapsi.fi/1G,1048576000,123787361,0.027333,8.470784
ftp.funet.fi,ftp://ftp.funet.fi/dev/1GBnull,1073741824,20502633,0.028763,52.370922
sto-se-ping.vultr.com,https://sto-se-ping.vultr.com/vultr.com.1000MB.bin,1048576000,119565086,0.082296,8.769918
lon-gb-ping.vultr.com,https://lon-gb-ping.vultr.com/vultr.com.1000MB.bin,1048576000,40958470,0.169638,25.600956
ams-nl-ping.vultr.com,https://ams-nl-ping.vultr.com/vultr.com.1000MB.bin,1048576000,27612839,0.117389,37.974219
blr-in-ping.vultr.com,https://blr-in-ping.vultr.com/vultr.com.1000MB.bin,1048576000,21920122,0.611739,47.836229
sgp-ping.vultr.com,https://sgp-ping.vultr.com/vultr.com.1000MB.bin,1048576000,13935188,0.860335,75.246631
hnd-jp-ping.vultr.com,https://hnd-jp-ping.vultr.com/vultr.com.1000MB.bin,1048576000,9346335,1.685868,112.191135
syd-au-ping.vultr.com,https://syd-au-ping.vultr.com/vultr.com.1000MB.bin,1048576000,12024025,1.342551,87.206737
waw-pl-ping.vultr.com,https://waw-pl-ping.vultr.com/vultr.com.1000MB.bin,1048576000,83519556,0.225556,12.554856
par-fr-ping.vultr.com,https://par-fr-ping.vultr.com/vultr.com.1000MB.bin,1048576000,78102321,0.171309,13.425670
ga-us-ping.vultr.com,https://ga-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,4435569,0.399509,236.401656
lax-ca-us-ping.vultr.com,https://lax-ca-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,2140245,0.569320,489.932691
hon-hi-us-ping.vultr.com,https://hon-hi-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,17442749,0.711467,60.115293
la.speedtest.clouvider.net,https://la.speedtest.clouvider.net/1g.bin,1048576000,2752037,0.667316,381.018131
atl.speedtest.clouvider.net,https://atl.speedtest.clouvider.net/1g.bin,1048576000,2824494,0.491406,371.243739
nyc.speedtest.clouvider.net,https://nyc.speedtest.clouvider.net/1g.bin,1048576000,2551378,0.537325,410.984033
man.speedtest.clouvider.net,https://man.speedtest.clouvider.net/1g.bin,1048576000,4028595,0.288404,260.283286
ams.speedtest.clouvider.net,https://ams.speedtest.clouvider.net/1g.bin,1048576000,6227808,0.166921,168.369990
fra.speedtest.clouvider.net,https://fra.speedtest.clouvider.net/1g.bin,1048576000,71240328,0.167960,14.718854
dal.speedtest.clouvider.net,https://dal.speedtest.clouvider.net/1g.bin,1048576000,3736226,0.570584,280.651049
ash.speedtest.clouvider.net,https://ash.speedtest.clouvider.net/1g.bin,1048576000,3903840,0.451040,268.601113
phx.speedtest.clouvider.net,https://phx.speedtest.clouvider.net/1g.bin,1048576000,4572207,0.650396,229.336905
