Test source,Hostname,sent,received,loss,rtt_min,rtt_avg,rtt_max
Valoo,ftp.funet.fi                ,20,20,0%,11.4,11.6,11.7
Valoo,sto-se-ping.vultr.com       ,20,20,0%,18.6,18.7,19.0
Valoo,lon-gb-ping.vultr.com       ,20,20,0%,48.8,49.1,50.0
Valoo,ams-nl-ping.vultr.com       ,20,20,0%,37.0,37.2,37.4
Valoo,blr-in-ping.vultr.com       ,20,20,0%,181,182,182
Valoo,sgp-ping.vultr.com          ,20,20,0%,268,268,268
Valoo,hnd-jp-ping.vultr.com       ,20,13,35%,275,289,309
Valoo,syd-au-ping.vultr.com       ,20,20,0%,315,340,399
Valoo,waw-pl-ping.vultr.com       ,20,20,0%,50.4,50.7,54.0
Valoo,par-fr-ping.vultr.com       ,20,20,0%,47.0,47.2,47.9
Valoo,ga-us-ping.vultr.com        ,20,20,0%,126,126,126
Valoo,lax-ca-us-ping.vultr.com    ,20,20,0%,170,171,171
Valoo,hon-hi-us-ping.vultr.com    ,20,20,0%,228,228,228
Valoo,speedtest.kapsi.fi          ,20,20,0%,12.1,12.2,12.7
Valoo,la.speedtest.clouvider.net  ,20,20,0%,162,162,163
Valoo,atl.speedtest.clouvider.net ,20,20,0%,125,126,126
Valoo,nyc.speedtest.clouvider.net ,20,20,0%,111,111,111
Valoo,man.speedtest.clouvider.net ,20,20,0%,58.9,59.1,59.3
Valoo,ams.speedtest.clouvider.net ,20,20,0%,39.3,39.4,39.6
Valoo,fra.speedtest.clouvider.net ,20,20,0%,40.1,40.3,40.4
Valoo,dal.speedtest.clouvider.net ,20,20,0%,142,142,144
Valoo,ash.speedtest.clouvider.net ,20,20,0%,114,115,115
Valoo,phx.speedtest.clouvider.net ,20,20,0%,165,165,166
Kapsi,ftp.funet.fi                ,20,20,0%,0.942,1.03,1.20
Kapsi,sto-se-ping.vultr.com       ,20,20,0%,7.65,7.72,7.83
Kapsi,lon-gb-ping.vultr.com       ,20,20,0%,29.8,30.0,30.1
Kapsi,ams-nl-ping.vultr.com       ,20,20,0%,27.6,27.7,27.7
Kapsi,blr-in-ping.vultr.com       ,20,20,0%,163,163,168
Kapsi,sgp-ping.vultr.com          ,20,20,0%,240,268,283
Kapsi,hnd-jp-ping.vultr.com       ,20,20,0%,346,372,388
Kapsi,syd-au-ping.vultr.com       ,20,20,0%,284,284,284
Kapsi,waw-pl-ping.vultr.com       ,20,20,0%,18.3,18.3,18.5
Kapsi,par-fr-ping.vultr.com       ,20,20,0%,37.2,37.3,37.6
Kapsi,ga-us-ping.vultr.com        ,20,20,0%,118,118,118
Kapsi,lax-ca-us-ping.vultr.com    ,20,20,0%,160,160,160
Kapsi,hon-hi-us-ping.vultr.com    ,20,20,0%,224,224,224
Kapsi,speedtest.kapsi.fi          ,20,20,0%,0.135,0.292,0.529
Kapsi,la.speedtest.clouvider.net  ,20,20,0%,150,150,150
Kapsi,atl.speedtest.clouvider.net ,20,20,0%,106,106,107
Kapsi,nyc.speedtest.clouvider.net ,20,20,0%,91.8,91.8,91.9
Kapsi,man.speedtest.clouvider.net ,20,20,0%,39.0,39.2,39.4
Kapsi,ams.speedtest.clouvider.net ,20,20,0%,25.4,25.4,25.5
Kapsi,fra.speedtest.clouvider.net ,20,20,0%,30.3,30.4,30.5
Kapsi,dal.speedtest.clouvider.net ,20,20,0%,140,140,141
Kapsi,ash.speedtest.clouvider.net ,20,20,0%,112,112,112
Kapsi,phx.speedtest.clouvider.net ,20,20,0%,162,162,163
Hetzner,ftp.funet.fi                ,20,20,0%,1.07,1.32,3.67
Hetzner,sto-se-ping.vultr.com       ,20,20,0%,7.24,7.40,8.04
Hetzner,lon-gb-ping.vultr.com       ,20,20,0%,38.8,39.0,39.4
Hetzner,ams-nl-ping.vultr.com       ,20,20,0%,27.8,27.9,28.1
Hetzner,blr-in-ping.vultr.com       ,20,20,0%,156,156,164
Hetzner,sgp-ping.vultr.com          ,20,20,0%,276,276,276
Hetzner,hnd-jp-ping.vultr.com       ,20,20,0%,332,347,362
Hetzner,syd-au-ping.vultr.com       ,20,20,0%,307,307,307
Hetzner,waw-pl-ping.vultr.com       ,20,20,0%,18.0,18.2,20.4
Hetzner,par-fr-ping.vultr.com       ,20,20,0%,39.7,39.9,40.2
Hetzner,ga-us-ping.vultr.com        ,20,20,0%,111,111,112
Hetzner,lax-ca-us-ping.vultr.com    ,20,20,0%,153,153,153
Hetzner,hon-hi-us-ping.vultr.com    ,20,20,0%,216,216,216
Hetzner,speedtest.kapsi.fi          ,20,20,0%,1.44,1.68,2.28
Hetzner,la.speedtest.clouvider.net  ,20,20,0%,150,151,152
Hetzner,atl.speedtest.clouvider.net ,20,20,0%,123,124,124
Hetzner,nyc.speedtest.clouvider.net ,20,20,0%,102,102,102
Hetzner,man.speedtest.clouvider.net ,20,20,0%,43.0,43.2,43.7
Hetzner,ams.speedtest.clouvider.net ,20,20,0%,27.6,27.8,30.4
Hetzner,fra.speedtest.clouvider.net ,20,20,0%,20.2,20.5,20.8
Hetzner,dal.speedtest.clouvider.net ,20,20,0%,129,130,130
Hetzner,ash.speedtest.clouvider.net ,20,20,0%,102,102,103
Hetzner,phx.speedtest.clouvider.net ,20,20,0%,152,152,153
OLKA/Cinia,ftp.funet.fi                ,20,20,0%,8.45,8.58,10.0
OLKA/Cinia,sto-se-ping.vultr.com       ,20,20,0%,17.0,17.1,17.2
OLKA/Cinia,lon-gb-ping.vultr.com       ,20,20,0%,37.9,38.1,39.1
OLKA/Cinia,ams-nl-ping.vultr.com       ,20,20,0%,35.3,35.5,37.1
OLKA/Cinia,blr-in-ping.vultr.com       ,20,20,0%,170,170,170
OLKA/Cinia,sgp-ping.vultr.com          ,20,20,0%,203,244,259
OLKA/Cinia,hnd-jp-ping.vultr.com       ,20,20,0%,314,345,385
OLKA/Cinia,syd-au-ping.vultr.com       ,20,20,0%,316,316,318
OLKA/Cinia,waw-pl-ping.vultr.com       ,20,20,0%,25.0,25.1,26.7
OLKA/Cinia,par-fr-ping.vultr.com       ,20,20,0%,41.8,42.1,43.6
OLKA/Cinia,ga-us-ping.vultr.com        ,20,20,0%,115,115,116
OLKA/Cinia,lax-ca-us-ping.vultr.com    ,20,20,0%,161,161,161
OLKA/Cinia,hon-hi-us-ping.vultr.com    ,20,20,0%,235,235,235
OLKA/Cinia,speedtest.kapsi.fi          ,20,20,0%,10.1,10.3,11.2
OLKA/Cinia,la.speedtest.clouvider.net  ,20,20,0%,168,168,169
OLKA/Cinia,atl.speedtest.clouvider.net ,20,20,0%,114,114,115
OLKA/Cinia,nyc.speedtest.clouvider.net ,20,20,0%,99.9,99.9,100
OLKA/Cinia,man.speedtest.clouvider.net ,20,20,0%,49.1,49.4,49.8
OLKA/Cinia,ams.speedtest.clouvider.net ,20,20,0%,37.6,37.8,39.2
OLKA/Cinia,fra.speedtest.clouvider.net ,20,20,0%,39.6,39.7,40.8
OLKA/Cinia,dal.speedtest.clouvider.net ,20,20,0%,140,140,140
OLKA/Cinia,ash.speedtest.clouvider.net ,20,20,0%,114,114,114
OLKA/Cinia,phx.speedtest.clouvider.net ,20,20,0%,170,171,171

